Index,Filename,Analysis_Summary,Target_Subject,Degradation_Type,Suggested_Operation,Target
0,00002.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
1,00005.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
2,00007.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
3,00008.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
4,00009.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
5,00010.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
6,00012.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
7,00014.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
8,00016.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
9,00018.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
10,00019.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
11,00020.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
12,00021.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
13,00022.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
14,00023.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
15,00024.png,Car has Underexposure,Car,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of car is clearly visible."
16,00028.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
